Source Station,Target Station,Weight
Dollis Hill,Willesden Green,344
Moor Park,Northwood,84
Chancery Lane,St. Pauls,264
Sloane Square,South Kensington,1372
Canning Town,West Ham,612
Earls Court,High Street Kensington,1253
Aldgate,Liverpool Street,992
Green Park,Piccadilly Circus,1595
Chancery Lane,Holborn,417
Monument,Waterloo,2028
Edgware Road (Bakerloo),Marylebone,197
Clapham North,Stockwell,458
Northwood Hills,Pinner,140
Leytonstone,Snaresbrook,248
East Ham,Upton Park,597
Hillingdon,Uxbridge,538
London Bridge,Southwark,1321
St. Johns Wood,Swiss Cottage,224
Croxley,Watford,114
Lancaster Gate,Marble Arch,540
Debden,Loughton,226
Baker Street,Finchley Road,736
St. Jamess Park,Westminster,473
Stepney Green,Whitechapel,396
Waterloo,Westminster,1966
Euston,Kings Cross St. Pancras,1740
Euston Square,Kings Cross St. Pancras,1005
Hounslow Central,Hounslow West,185
Canons Park,Stanmore,323
Harlesden,Stonebridge Park,177
Blackfriars,Temple,360
Eastcote,Ruislip Manor,105
Bow Road,Bromley-by-Bow,151
Barons Court,West Kensington,233
Canons Park,Queensbury,245
Hyde Park Corner,Knightsbridge,686
Royal Oak,Westbourne Park,162
Stratford,West Ham,2744
Hatton Cross,Heathrow Terminals 1 2 3,618
Arnos Grove,Southgate,421
Hatton Cross,Hounslow West,213
Acton Town,Chiswick Park,213
Finsbury Park,Manor House,940
Moorgate,Old Street,614
Becontree,Upney,151
Embankment,Westminster,1058
Charing Cross,Leicester Square,1785
Turnpike Lane,Wood Green,675
East Putney,Putney Bridge,737
Hanger Lane,Perivale,132
Redbridge,Wanstead,139
Parsons Green,Putney Bridge,661
Kensal Green,Queens Park,275
Notting Hill Gate,Queensway,621
Amersham,Chalfont and Latimer,211
Barbican,Moorgate,373
Boston Manor,Osterley,136
Edgware Road (Bakerloo),Paddington,1113
Blackhorse Road,Tottenham Hale,1256
Epping,Theydon Bois,330
Green Park,Hyde Park Corner,576
Aldgate,Tower Hill,493
Monument,St. Pauls,526
Baker Street,Bond Street,1416
Archway,Highgate,509
Hanger Lane,North Acton,254
Kennington,Oval,212
Stamford Brook,Turnham Green,314
Borough,Elephant and Castle,344
Rayners Lane,West Harrow,109
East Finchley,Highgate,392
Oval,Stockwell,370
